year,lsoas,fixed_baseline_A_2001_SW_Care50_weighted,mean_A,care50_weighted_mean_A,mean_Astar,care50_weighted_mean_Astar,median_Astar,p10_Astar,p90_Astar,min_Astar,max_Astar,lsoas_below_2001_baseline
2001,3411,0.211300975246001,0.220939212861912,0.211300975246001,1.04561378670727,1,0.989219969110394,0.601732476523616,1.58554345583885,0,7.29895360966062,1746
2011,3411,0.211300975246001,0.266130723656022,0.256370623415581,1.25948649004666,1.21329597801008,1.23073007282044,0.744037839084324,1.75868558229625,0,4.08028136035055,994
2021,3411,0.211300975246001,0.271594870391148,0.262892435812589,1.28534603342436,1.24416101490551,1.26624366500635,0.782011957197988,1.81034743366134,0,5.75753497036318,860
