role,locations,median_snap_m,p95_snap_m,p99_snap_m,max_snap_m,unique_graph_components
demand,6969,49.845106694518,338.003923078468,543.063677239015,1529.57125200527,55
provider,3160,55.6042002295091,372.76470903212,608.535765627973,1529.57125200527,32
