year,eligible_charities,usable_income_charities,missing_income_charities,recorded_zero_income_charities,income_sum_2021_gbp,income_mean_2021_gbp,income_median_2021_gbp,income_p10_2021_gbp,income_p90_2021_gbp,income_p99_2021_gbp,income_max_2021_gbp,capacity_sum_log1p_income
2001,2276,2028,248,17,814583260.33509,401668.274326967,22459.8739946381,2446.0745308311,509785.55667107,6892478.00655218,54497406.8639366,20670.7644520562
2011,3313,3102,211,57,1736252037.39887,559720.192585065,32690.0961538462,2300.43846153846,595410.680769231,9621461.95192307,134264576.923077,32060.745173613
2021,3996,3894,102,230,2304241091.36719,591741.42048464,27990.5,290.611570247934,542507.99053942,9677915.19000002,263402000,37813.0019643827
