year,lsoas,fixed_baseline_A_2001_SW_Care50_weighted,mean_A,care50_weighted_mean_A,mean_Astar,care50_weighted_mean_Astar,median_Astar,p10_Astar,p90_Astar,min_Astar,max_Astar,lsoas_below_2001_baseline
2001,3411,0.211613437999809,0.220899218045209,0.211613437999809,1.04388086188273,1,0.95491103805587,0.608869513743912,1.58780589049145,0,7.28817616959656,1828
2011,3411,0.211613437999809,0.266537468878943,0.256833857171007,1.25954888025203,1.21369351397825,1.20977160600505,0.757848168873914,1.78813434133063,0,4.0742565258116,1006
2021,3411,0.211613437999809,0.272424091584049,0.263161828424112,1.28736669163843,1.24359696109823,1.24814864472397,0.799366124956304,1.85121342141438,0,5.74903354791577,876
