year,settlement_type,n_lsoas,mean_care50_rate,median_care50_rate,mean_Astar,median_Astar,care50_weighted_mean_Astar,annual_relative_hpla_count,annual_relative_hpla_percent
2001,Rural,1000,0.02043361578124576,0.019744325422176502,1.0013290493065217,0.9241730910028675,0.9597748594237706,282,28.199999999999996
2001,Urban,2411,0.02101465359892225,0.0202971144159593,1.0615298923996195,0.967470076669377,1.0181842846443032,703,29.15802571547076
2011,Rural,1000,0.025182695924656266,0.0249475025147643,1.1265688709575774,1.092036044581525,1.0956278418515581,342,34.2
2011,Urban,2411,0.0252008854397031,0.0248009692260175,1.3147044212285823,1.26067673366807,1.267628556474083,633,26.25466611364579
2021,Rural,1000,0.027616723977815463,0.027230352813169552,1.111943610327116,1.08728616800286,1.0899807471968488,392,39.2
2021,Urban,2411,0.02643154332069403,0.0258413461538462,1.3601261612822786,1.31070095604984,1.3141197503180098,608,25.21775197013687
