year,annual_median_care50_rate,annual_median_Astar,high_pressure_lsoas,low_access_lsoas,hpla_lsoas,hpla_share
2001,0.0200831128669047,0.95491103805587,1705,1705,985,0.288771621225447
2011,0.0248492512146891,1.20977160600505,1705,1705,975,0.285839929639402
2021,0.0263522884882108,1.24814864472397,1705,1705,1000,0.293169158604515
