year,urban_n,rural_n,rural_minus_urban_mean_Astar,rural_minus_urban_median_Astar
2001,2411,1000,-0.06020084309309781,-0.043296985666509524
2011,2411,1000,-0.18813555027100493,-0.16864068908654506
2021,2411,1000,-0.2481825509551625,-0.2234147880469799
