ICB23CD,year,settlement_type,ICB23NM,n_lsoas,mean_care50_rate,median_care50_rate,mean_Astar,median_Astar,care50_weighted_mean_Astar,annual_relative_hpla_count,annual_relative_hpla_percent
E54000040,2001,Rural,"Bath and North East Somerset, Swindon and Wiltshire",177,0.016083810894378495,0.01595451466178,1.2456077628865867,1.17926372772258,1.241032616293958,12,6.779661016949152
E54000040,2001,Urban,"Bath and North East Somerset, Swindon and Wiltshire",392,0.017089611152506595,0.0162631497879049,1.3358732762304963,1.1842452167395199,1.3301144274751142,44,11.224489795918368
E54000040,2011,Rural,"Bath and North East Somerset, Swindon and Wiltshire",177,0.02034065295293759,0.0198890275166697,1.3700929375749242,1.26166624535556,1.3492845639393536,18,10.16949152542373
E54000040,2011,Urban,"Bath and North East Somerset, Swindon and Wiltshire",392,0.02168930966071243,0.0212737615482884,1.515082757125837,1.413627216010555,1.513104720472329,27,6.887755102040815
E54000040,2021,Rural,"Bath and North East Somerset, Swindon and Wiltshire",177,0.023036071783123863,0.0224215246636771,1.2848867728546856,1.32697185974763,1.2903967446385065,19,10.734463276836157
E54000040,2021,Urban,"Bath and North East Somerset, Swindon and Wiltshire",392,0.024379461396851848,0.02363488441229645,1.4529205468332669,1.3777634218843748,1.439566651602489,51,13.010204081632654
E54000039,2001,Rural,"Bristol, North Somerset and South Gloucestershire",43,0.017103255800790376,0.0157788783393191,0.6758429452187318,0.678296533600234,0.6778006086992107,11,25.581395348837212
E54000039,2001,Urban,"Bristol, North Somerset and South Gloucestershire",538,0.019998916341716036,0.0195287132707095,0.9871373914786822,1.0570873879621399,0.9790656010786349,93,17.286245353159853
E54000039,2011,Rural,"Bristol, North Somerset and South Gloucestershire",43,0.022176337537278865,0.021068431810028,0.8958820316429021,0.87875467132537,0.9053279701795569,11,25.581395348837212
E54000039,2011,Urban,"Bristol, North Somerset and South Gloucestershire",538,0.02299956290775308,0.0224672120403058,1.3177747244490592,1.426488385193145,1.2943004110128444,61,11.338289962825279
E54000039,2021,Rural,"Bristol, North Somerset and South Gloucestershire",43,0.024415746859607304,0.0237623762376238,1.0372863319892867,0.883439756400648,1.0344874449518209,10,23.25581395348837
E54000039,2021,Urban,"Bristol, North Somerset and South Gloucestershire",538,0.02299239296169271,0.02284365406470245,1.480940864839612,1.60501413644556,1.428813701099844,65,12.0817843866171
E54000036,2001,Rural,Cornwall and the Isles of Scilly,184,0.027518048783957312,0.02708415879224315,0.7223595461188392,0.663388602798348,0.7138425009701964,133,72.28260869565217
E54000036,2001,Urban,Cornwall and the Isles of Scilly,153,0.028186646482625692,0.0281335336449563,0.7463723267954442,0.776647096226551,0.7360029133549739,113,73.8562091503268
E54000036,2011,Rural,Cornwall and the Isles of Scilly,184,0.03171888371025351,0.031045334618509453,0.8622762698983059,0.811162875466816,0.8696491087407915,141,76.63043478260869
E54000036,2011,Urban,Cornwall and the Isles of Scilly,153,0.03129258530798239,0.0309197080560552,0.9610193808027107,0.979903701125288,0.9578829852517264,108,70.58823529411765
E54000036,2021,Rural,Cornwall and the Isles of Scilly,184,0.032933509141785146,0.03247957058474475,0.9260052109973481,0.877607667567649,0.9260663313119877,133,72.28260869565217
E54000036,2021,Urban,Cornwall and the Isles of Scilly,153,0.031215202882793395,0.0299162345432788,1.0387096440425485,1.06687717224821,1.0537701852886663,81,52.94117647058824
E54000037,2001,Rural,Devon,226,0.021442140477072623,0.0207180178916498,1.0899773851824943,1.0406950288465748,1.0715076806819424,61,26.991150442477874
E54000037,2001,Urban,Devon,503,0.024611134234266942,0.0239796954322146,1.0240671138231143,0.778163646909487,0.9538967178328254,254,50.49701789264414
E54000037,2011,Rural,Devon,226,0.026100929438892043,0.02588518843207675,1.191169838609392,1.181580726977245,1.1758484379445064,68,30.08849557522124
E54000037,2011,Urban,Devon,503,0.03027691340211004,0.029664923655977,1.2154796537429868,0.950856384888427,1.133875639724509,267,53.08151093439364
E54000037,2021,Rural,Devon,226,0.02909477874477213,0.028640183979989797,1.1211651698926663,1.147261846459515,1.1084621707570554,96,42.47787610619469
E54000037,2021,Urban,Devon,503,0.031660785747055296,0.0314569536423841,1.2060755307322757,1.07081241336199,1.16033295176988,266,52.88270377733598
E54000041,2001,Rural,Dorset,104,0.019544124910118685,0.019178320203664848,1.022999204881375,0.9014925338139275,0.9842042036906252,31,29.807692307692307
E54000041,2001,Urban,Dorset,359,0.021388811843960055,0.0206391465884995,0.868475924085235,0.828494914420267,0.8628024019066073,160,44.56824512534819
E54000041,2011,Rural,Dorset,104,0.025374190129621922,0.025893341066675,1.1055017580088093,1.016954405965385,1.0916119789311836,41,39.42307692307692
E54000041,2011,Urban,Dorset,359,0.025395013264198237,0.0250445214904402,1.138649000274651,1.13536528031978,1.136668432966579,146,40.66852367688023
E54000041,2021,Rural,Dorset,104,0.028837258531621855,0.027753748512695547,1.125509389654356,1.021469857142355,1.1047281263125606,41,39.42307692307692
E54000041,2021,Urban,Dorset,359,0.026817336088446154,0.0259136212624585,1.209297362167295,1.24055808280178,1.2081182583099521,115,32.03342618384401
E54000043,2001,Rural,Gloucestershire,109,0.017333167457166794,0.0166356158613301,1.1317705962147864,1.08492402552372,1.1114339672752263,11,10.091743119266056
E54000043,2001,Urban,Gloucestershire,284,0.017607766253848106,0.01752292677036605,1.2143929117831496,1.21133206320512,1.2207543914952235,9,3.169014084507042
E54000043,2011,Rural,Gloucestershire,109,0.022304438808079936,0.0221572484613565,1.25844406228619,1.22051349003923,1.2420861299585402,15,13.761467889908257
E54000043,2011,Urban,Gloucestershire,284,0.02161812321829523,0.0204385318930475,1.463758990584941,1.48459989414079,1.4653808401516295,16,5.633802816901409
E54000043,2021,Rural,Gloucestershire,109,0.023583772605401072,0.0233333333333333,1.2881998814412798,1.2756267400492,1.2778724291317718,18,16.51376146788991
E54000043,2021,Urban,Gloucestershire,284,0.022859683204554296,0.0225794364993558,1.5638407794905886,1.5881222290870651,1.5571397883755893,8,2.8169014084507045
E54000038,2001,Rural,Somerset,157,0.019236893541125503,0.0188138420557539,1.0421246511714677,1.07631000594904,1.017093804645576,30,19.10828025477707
E54000038,2001,Urban,Somerset,182,0.021080432767160494,0.02060292768906575,1.1193619168870808,1.13117527776934,1.0843173384869802,37,20.32967032967033
E54000038,2011,Rural,Somerset,157,0.02435435400283873,0.0239874092535841,1.2370215061629444,1.31269595612777,1.2121268387969528,35,22.29299363057325
E54000038,2011,Urban,Somerset,182,0.025329400079824618,0.02445449711366805,1.401543092823425,1.439015636229945,1.3671374663496545,28,15.384615384615385
E54000038,2021,Rural,Somerset,157,0.027290257181879413,0.0269086357947434,1.1987713303876195,1.21996083931392,1.1922106599240232,47,29.936305732484076
E54000038,2021,Urban,Somerset,182,0.027356701689862154,0.0258024887057145,1.2786085588782665,1.3656084366467751,1.2538002386768727,31,17.032967032967033
