state_2001,HP-LA,HP-HA,LP-LA,LP-HA
HP-LA,0.64964964964965,0.136136136136136,0.177177177177177,0.037037037037037
HP-HA,0.172804532577904,0.492917847025496,0.0509915014164306,0.28328611898017
LP-LA,0.21671388101983,0.0509915014164306,0.592067988668555,0.140226628895184
LP-HA,0.057,0.204,0.093,0.646
