state_2011,HP-LA,HP-HA,LP-LA,LP-HA
HP-LA,0.719959266802444,0.0865580448065173,0.170061099796334,0.0234215885947047
HP-HA,0.117565698478562,0.605809128630705,0.0345781466113416,0.242047026279391
LP-LA,0.208852005532503,0.045643153526971,0.63762102351314,0.107883817427386
LP-HA,0.0386571719226857,0.170905391658189,0.0722278738555443,0.718209562563581
