year,ICB23CD,ICB23NM,lsoas,care50_num,population_5plus,registered_capacity_log1p_income,mean_A,median_A,care50_weighted_A,mean_Astar,median_Astar,care50_weighted_Astar,care50_weighted_relative_accessibility_deficit,lsoas_below_baseline,share_lsoas_below_baseline,care50_in_below_baseline_lsoas
2001,E54000036,Cornwall and the Isles of Scilly,337,13149.2550686804,475021.674886102,2044.14020547775,0.15493886817028,0.154074784855899,0.152849196191386,0.733261491055102,0.729172142610896,0.723371939071437,0.276628060928563,289,0.857566765578635,11530.5514123744
2001,E54000037,Devon,729,24029.2383938213,1020918.19984692,5020.63039292741,0.220703911340657,0.179866553616691,0.209078270588749,1.04450020206347,0.85123390181842,0.989480859448639,0.0105191405513606,444,0.609053497942387,15690.4782664468
2001,E54000038,Somerset,339,9469.7056541105,470954.292856554,2123.47532789221,0.228963891232318,0.237040880616902,0.222252449175999,1.08359126580345,1.12181631126375,1.05182879027059,-0.0518287902705951,125,0.368731563421829,3944.97221569303
2001,E54000039,"Bristol, North Somerset and South Gloucestershire",581,15397.6923511903,765169.924129286,2838.478943468,0.203714929556376,0.220500734753701,0.202541380811396,0.964098387710734,1.04353865142832,0.958544467556728,0.0414555324432724,255,0.438898450946644,6833.79079684945
2001,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,12582.5484608217,740291.996964451,3620.20451232799,0.276338189328963,0.249808844365764,0.274964313343756,1.30779419738714,1.18224179550014,1.30129221137591,-0.301292211375913,187,0.328646748681898,4166.52920746436
2001,E54000041,Dorset,463,13870.028707056,658834.297533054,2519.88539625644,0.190843925660782,0.175738514843197,0.188286578408752,0.903185257136636,0.831697604038968,0.891082391785197,0.108917608214803,365,0.788336933045356,11001.4913288419
2001,E54000043,Gloucestershire,393,9329.53136431983,532111.613783635,2503.94967370635,0.251760317104644,0.253236386131089,0.251103710371658,1.19147730771966,1.19846293106913,1.18836986000333,-0.188369860003332,81,0.206106870229008,1855.94467139827
2011,E54000036,Cornwall and the Isles of Scilly,337,15889.1155835466,506945.100728947,3059.85536990213,0.191672430683363,0.18993506515964,0.191741454053344,0.907106228261433,0.898883996813138,0.907432887283715,0.0925671127162845,213,0.632047477744807,10009.8716662308
2011,E54000037,Devon,729,30741.9001455614,1074404.19545271,7480.29093924464,0.255239592595266,0.213656683764654,0.24229714407637,1.2079432775836,1.01114859274033,1.14669202919808,-0.146692029198075,362,0.496570644718793,16532.6585929243
2011,E54000038,Somerset,339,12313.3667708496,501304.558272093,3392.99839093425,0.280047479122387,0.291879305988945,0.272834990351355,1.32534872967978,1.38134386577787,1.29121500756783,-0.291215007567827,58,0.171091445427729,2533.91453081315
2011,E54000039,"Bristol, North Somerset and South Gloucestershire",581,19112.6149117209,835915.093939706,4725.09496349562,0.271849334843902,0.294579979042146,0.267386465153482,1.28655030828613,1.39412503278411,1.26542939445587,-0.265429394455867,162,0.278829604130809,5331.94771917695
2011,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,17127.3599670025,809225.599951913,5537.66637088994,0.310608308134279,0.294209560802111,0.308835537772148,1.46998047582441,1.39237199667245,1.46159068793977,-0.461590687939771,55,0.0966608084358524,1602.34748192993
2011,E54000041,Dorset,463,17897.8483917309,705974.606540317,4063.97765416385,0.239024381499063,0.238578701717137,0.237872280158228,1.13120339942012,1.12909418160223,1.12575098094693,-0.125750980946926,103,0.222462203023758,4267.77489171104
2011,E54000043,Gloucestershire,393,12218.794229588,563596.84511431,3800.86148498261,0.297261199285452,0.309326727000015,0.295553505876514,1.40681413769801,1.46391528311637,1.39873233207951,-0.398732332079507,41,0.104325699745547,1355.00804712042
2021,E54000036,Cornwall and the Isles of Scilly,337,17516,546772,3624.17926674229,0.206477754203416,0.204718927576116,0.207408325413246,0.977173692468908,0.968849894506058,0.981577700584563,0.018422299415437,183,0.543026706231454,9250
2021,E54000037,Devon,729,35246,1160932,8529.58912609865,0.2492827807143,0.229449181181369,0.241711579153977,1.17975215412082,1.08588794213675,1.14392079294746,-0.14392079294746,270,0.37037037037037,13637
2021,E54000038,Somerset,339,14765,544540,3901.86346073851,0.262358431832818,0.274441766091645,0.258698564492124,1.24163379524101,1.29881921165832,1.22431315894752,-0.22431315894752,78,0.230088495575221,3641
2021,E54000039,"Bristol, North Somerset and South Gloucestershire",581,21093,926946,5796.41332945134,0.305986177895014,0.332617749776346,0.295304997742358,1.4481058477784,1.57414204732896,1.39755624600671,-0.397556246006709,154,0.265060240963855,6022
2021,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,21216,894790,6393.7077388395,0.295958697295337,0.287806316561755,0.294789499585818,1.40064993524415,1.36206809375434,1.39511660673888,-0.395116606738881,56,0.0984182776801406,1927
2021,E54000041,Dorset,463,20205,745817,4881.98933147738,0.251548895677761,0.258503072847069,0.249806577660016,1.19047673767195,1.22338797795947,1.18223106812065,-0.182231068120652,81,0.174946004319654,3889
2021,E54000043,Gloucestershire,393,14064,612881,4685.25971103508,0.314287118037534,0.327114620740798,0.311549727604849,1.48739075942093,1.54809801686889,1.47443582426506,-0.474435824265059,38,0.0966921119592875,1362
