year,variable,n,nonmissing,missing,sum,mean,std,min,p05,p10,p25,median,p75,p90,p95,max,care50_weighted_mean
2001,accessibility_A,3411,3411,0,753.62365507198,0.220939212861912,0.0923209458442122,0,0.105445982591626,0.127146659126632,0.159899611879582,0.209023144205846,0.263702403854545,0.335026878513665,0.409061431485284,1.54227601599661,0.211300975246001
2001,accessibility_Astar,3411,3411,0,3566.58862645851,1.04561378670727,0.43691679954023,0,0.499032162387627,0.601732476523616,0.756738636409145,0.989219969110394,1.24799425817859,1.58554345583885,1.93591833170218,7.29895360966062,1
2011,accessibility_A,3411,3411,0,907.771898390692,0.266130723656022,0.091529464480347,0,0.13354321891633,0.157215921018445,0.200126361945345,0.26005446465154,0.321506695833398,0.37161197869028,0.427996446878527,0.862167430720152,0.256370623415581
2011,accessibility_Astar,3411,3411,0,4296.10841754916,1.25948649004666,0.433171046057816,0,0.632004744705302,0.744037839084324,0.9471151835071,1.23073007282044,1.52155803095132,1.75868558229625,2.02552991712529,4.08028136035055,1.21329597801008
2021,accessibility_A,3411,3411,0,926.410102904205,0.271594870391148,0.0863720928463116,0,0.142036895901556,0.165239889209969,0.210840253782625,0.267558521314914,0.332045062958006,0.382528178266738,0.411285629130445,1.2165727542507,0.262892435812589
2021,accessibility_Astar,3411,3411,0,4384.31532001051,1.28534603342437,0.408763342174617,0,0.672201799997342,0.782011957197988,0.997819596133716,1.26624366500635,1.57143175781101,1.81034743366134,1.94644453794696,5.75753497036318,1.24416101490551
