state_2001,HP-LA,HP-HA,LP-LA,LP-HA
HP-LA,0.730730730730731,0.0690690690690691,0.183183183183183,0.017017017017017
HP-HA,0.0864022662889518,0.626062322946176,0.0240793201133144,0.263456090651558
LP-LA,0.230878186968839,0.0297450424929178,0.672804532577904,0.0665722379603399
LP-HA,0.028,0.191,0.048,0.733
