trajectory_category,lsoas,share_of_lsoas,care50_num_2021,share_of_2021_care50
Persistent HP–LA,571,0.167399589563178,32590,0.226154540092294
Emerging HP–LA,332,0.0973321606566989,17053,0.118337323479407
Resolved / improved,350,0.10260920551158,15271,0.105971340342112
Intermittent,194,0.0568748167692759,8257,0.0572984976232608
Never HP–LA,1964,0.575784227499267,70934,0.492238298462926
