year,settlement_type,n_lsoas,mean_care50_rate,median_care50_rate,mean_Astar,median_Astar,care50_weighted_mean_Astar,annual_relative_hpla_count,annual_relative_hpla_percent
2001,Rural,1000,0.02043361578124576,0.019744325422176502,1.0221513487414366,0.9466654300573305,0.9787786231043387,289,28.9
2001,Urban,2411,0.02101465359892225,0.0202971144159593,1.0553452002144659,1.00591203759486,1.0095933924030285,710,29.448361675653256
2011,Rural,1000,0.025182695924656266,0.0249475025147643,1.1552475565881104,1.0998075004486751,1.121473589685847,329,32.9
2011,Urban,2411,0.0252008854397031,0.0248009692260175,1.3027212198096414,1.28152811707699,1.2552425008827237,653,27.08419742845292
2021,Rural,1000,0.027616723977815463,0.027230352813169552,1.141470420762082,1.11402258354681,1.1194708008612528,364,36.4
2021,Urban,2411,0.02643154332069403,0.0258413461538462,1.345020696494578,1.31082745781255,1.3014043322577928,617,25.591041061800084
