ICB23CD,ICB23NM,period,mean_Astar_change,median_Astar_change
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2001-2011,0.16218627843727473,0.21013020117230985
E54000039,"Bristol, North Somerset and South Gloucestershire",2001-2011,0.3224519205753912,0.3505863813557899
E54000036,Cornwall and the Isles of Scilly,2001-2011,0.1738447372063313,0.169711854202242
E54000037,Devon,2001-2011,0.16344307552012993,0.15991469092191013
E54000041,Dorset,2001-2011,0.2280181422834845,0.297396577563262
E54000043,Gloucestershire,2001-2011,0.2153368299783509,0.26545235204724005
E54000038,Somerset,2001-2011,0.241757463876332,0.25952755451412
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2011-2021,-0.06933054058026356,-0.030303902918110026
E54000039,"Bristol, North Somerset and South Gloucestershire",2011-2021,0.1615555394922754,0.18001701454485008
E54000036,Cornwall and the Isles of Scilly,2011-2021,0.07006746420747467,0.06996589769291994
E54000037,Devon,2011-2021,-0.02819112346278141,0.07473934939641991
E54000041,Dorset,2011-2021,0.05927333825182779,0.09429379635724011
E54000043,Gloucestershire,2011-2021,0.08057662172292246,0.08418273375252006
E54000038,Somerset,2011-2021,-0.08371493443877509,-0.08252465411955012
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2001-2021,0.09285573785701118,0.17982629825419982
E54000039,"Bristol, North Somerset and South Gloucestershire",2001-2021,0.4840074600676666,0.53060339590064
E54000036,Cornwall and the Isles of Scilly,2001-2021,0.24391220141380598,0.23967775189516194
E54000037,Devon,2001-2021,0.13525195205734852,0.23465404031833004
E54000041,Dorset,2001-2021,0.2872914805353123,0.3916903739205021
E54000043,Gloucestershire,2001-2021,0.29591345170127337,0.3496350857997601
E54000038,Somerset,2001-2021,0.15804252943755692,0.1770029003945699
