hpla_pattern,trajectory_category,lsoas,share_of_lsoas
000,Never HP–LA,1964,0.575784227499267
001,Emerging HP–LA,196,0.0574611550864849
010,Intermittent,116,0.0340076223981237
011,Emerging HP–LA,136,0.039871005570214
100,Resolved / improved,191,0.0559953092934623
101,Intermittent,78,0.0228671943711522
110,Resolved / improved,159,0.0466138962181179
111,Persistent HP–LA,571,0.167399589563178
