year,annual_median_care50_rate,annual_median_Astar,high_pressure_lsoas,low_access_lsoas,hpla_lsoas,hpla_share
2001,0.0200831128669047,0.989219969110394,1705,1705,999,0.29287598944591
2011,0.0248492512146891,1.23073007282044,1705,1705,982,0.287892113749634
2021,0.0263522884882108,1.26624366500635,1705,1705,981,0.287598944591029
